audio_path1,audio_path2,label
zero\common_voice_en_17284355.opus,down\common_voice_en_483565.opus,0
juego\common_voice_es_20601956.opus,juego\common_voice_es_20518050.opus,1
wow\common_voice_en_18081852.opus,dog\common_voice_en_137211.opus,0
color\common_voice_es_19745981.opus,color\common_voice_es_20765532.opus,1
siete\common_voice_es_19897288.opus,canción\common_voice_es_20299621.opus,0
nine\common_voice_en_17331186.opus,nine\common_voice_en_18163322.opus,1
one\common_voice_en_170158__2.opus,vida\common_voice_es_19405004.opus,0
tree\common_voice_en_18317737.opus,six\common_voice_en_22319172.opus,0
down\common_voice_en_198561.opus,dos\common_voice_es_18954295.opus,0
nine\common_voice_en_18084274.opus,nine\common_voice_en_18962625.opus,1
eight\common_voice_en_22413275.opus,yes\common_voice_en_129267.opus,0
zero\common_voice_en_17887364.opus,four\common_voice_en_20984143.opus,0
color\common_voice_es_19129368.opus,color\common_voice_es_19525878.opus,1
learn\common_voice_en_139980.opus,happy\common_voice_en_144027.opus,0
forward\common_voice_en_160710.opus,forward\common_voice_en_18964439.opus,1
five\common_voice_en_17463.opus,five\common_voice_en_6923150.opus,1
dos\common_voice_es_20667821.opus,sheila\common_voice_en_20141988.opus,0
cuatro\common_voice_es_20931463.opus,cuatro\common_voice_es_20767820.opus,1
cat\common_voice_en_18156358.opus,cat\common_voice_en_380083.opus,1
one\common_voice_en_115306.opus,one\common_voice_en_577934.opus,1
six\common_voice_en_19686488.opus,eight\common_voice_en_17835194.opus,0
happy\common_voice_en_17867228.opus,happy\common_voice_en_95282.opus,1
bird\common_voice_en_18701666.opus,four\common_voice_en_19113484.opus,0
bird\common_voice_en_602398.opus,bird\common_voice_en_15753970.opus,1
color\common_voice_es_19763422.opus,forward\common_voice_en_101560.opus,0
ciudad\common_voice_es_20064749.opus,ciudad\common_voice_es_20751287.opus,1
tree\common_voice_en_91865.opus,zero\common_voice_en_562978.opus,0
cero\common_voice_es_18321184.opus,two\common_voice_en_182462.opus,0
universidad\common_voice_es_19607774__2.opus,encuentra\common_voice_es_19732853.opus,0
juego\common_voice_es_20263993.opus,juego\common_voice_es_18728446.opus,1
juego\common_voice_es_19134954.opus,one\common_voice_en_127514.opus,0
