file,predicted_class,confidence,top_5_classes,top_5_confidences,confidence_pct,top_5
sam_1.wav,seven,0.45926910638809204,"['seven', 'son', 'sun', 'father', 'himself']","[0.45926910638809204, 0.1974778026342392, 0.13029296696186066, 0.06485111266374588, 0.05726495012640953]",45.93%,"seven (45.93%)
son (19.75%)
sun (13.03%)
father (6.49%)
himself (5.73%)"
sam_2.wav,done,0.19566728174686432,"['done', 'himself', 'include', 'important', 'without']","[0.19566728174686432, 0.1925051063299179, 0.10601355135440826, 0.09034211933612823, 0.05076072737574577]",19.57%,"done (19.57%)
himself (19.25%)
include (10.60%)
important (9.03%)
without (5.08%)"
shambu_1.wav,family,0.4426523745059967,"['family', 'until', 'done', 'become', 'seven']","[0.4426523745059967, 0.1878766119480133, 0.10073159635066986, 0.0803358182311058, 0.049274470657110214]",44.27%,"family (44.27%)
until (18.79%)
done (10.07%)
become (8.03%)
seven (4.93%)"
shambu_2.wav,young,0.8797315359115601,"['young', 'done', 'really', 'without', 'become']","[0.8797315359115601, 0.04230058193206787, 0.037816572934389114, 0.010581512935459614, 0.010334884747862816]",87.97%,"young (87.97%)
done (4.23%)
really (3.78%)
without (1.06%)
become (1.03%)"
alexa_1.wav,under,0.2816563844680786,"['under', 'himself', 'already', 'until', 'idea']","[0.2816563844680786, 0.10972769558429718, 0.10936596989631653, 0.1071944460272789, 0.09507182240486145]",28.17%,"under (28.17%)
himself (10.97%)
already (10.94%)
until (10.72%)
idea (9.51%)"
alexa_2.wav,once,0.22487740218639374,"['once', 'county', 'language', 'point', 'answered']","[0.22487740218639374, 0.12734974920749664, 0.12021563947200775, 0.10481168329715729, 0.055700819939374924]",22.49%,"once (22.49%)
county (12.73%)
language (12.02%)
point (10.48%)
answered (5.57%)"
shiva_1.wav,idea,0.6429488062858582,"['idea', 'national', 'until', 'himself', 'station']","[0.6429488062858582, 0.08321868628263474, 0.06734541803598404, 0.06369512528181076, 0.03373688459396362]",64.29%,"idea (64.29%)
national (8.32%)
until (6.73%)
himself (6.37%)
station (3.37%)"
shiva_2.wav,nine,0.30373865365982056,"['nine', 'young', 'idea', 'large', 'yes']","[0.30373865365982056, 0.2947097718715668, 0.07167237997055054, 0.05982517451047897, 0.04946485906839371]",30.37%,"nine (30.37%)
young (29.47%)
idea (7.17%)
large (5.98%)
yes (4.95%)"
munez_2.wav,morning,0.6525030136108398,"['morning', 'money', 'well', 'away', 'woman']","[0.6525030136108398, 0.07786522060632706, 0.06920807808637619, 0.06667206436395645, 0.051899924874305725]",65.25%,"morning (65.25%)
money (7.79%)
well (6.92%)
away (6.67%)
woman (5.19%)"
munez_3.wav,morning,0.34945857524871826,"['morning', 'woman', 'money', 'really', 'wanted']","[0.34945857524871826, 0.2810874283313751, 0.24100755155086517, 0.030964352190494537, 0.02246093936264515]",34.95%,"morning (34.95%)
woman (28.11%)
money (24.10%)
really (3.10%)
wanted (2.25%)"
nigga2.wav,music,0.947273850440979,"['music', 'yes', 'near', 'himself', 'mean']","[0.947273850440979, 0.02425828017294407, 0.020800361409783363, 0.004257235210388899, 0.001609322032891214]",94.73%,"music (94.73%)
yes (2.43%)
near (2.08%)
himself (0.43%)
mean (0.16%)"
nigga3.wav,music,0.7143730521202087,"['music', 'yes', 'himself', 'near', 'idea']","[0.7143730521202087, 0.24078290164470673, 0.023083148524165154, 0.0203398447483778, 0.001324366545304656]",71.44%,"music (71.44%)
yes (24.08%)
himself (2.31%)
near (2.03%)
idea (0.13%)"
