model_id,file1,file2,cosine_similarity,matcher_similarity,model_name,cosine_similarity_pct,matcher_similarity_pct
model_0,sam_1.wav,sam_2.wav,0.36598414182662964,0.36598414182662964,v31_ep11,36.60%,36.60%
model_0,shambu_1.wav,shambu_2.wav,0.45672208070755005,0.45672208070755005,v31_ep11,45.67%,45.67%
model_0,alexa_1.wav,alexa_2.wav,0.6313036680221558,0.6313036680221558,v31_ep11,63.13%,63.13%
model_0,alexa_1.wav,alexa_3.wav,0.4962039887905121,0.4962039887905121,v31_ep11,49.62%,49.62%
model_0,alexa_1.wav,alexa_4.wav,0.4312170147895813,0.4312170147895813,v31_ep11,43.12%,43.12%
model_0,alexa_1.wav,alexa_5.wav,0.7184774875640869,0.7184774875640869,v31_ep11,71.85%,71.85%
model_0,alexa_2.wav,alexa_3.wav,0.669245183467865,0.669245183467865,v31_ep11,66.92%,66.92%
model_0,alexa_2.wav,alexa_4.wav,0.30440524220466614,0.30440524220466614,v31_ep11,30.44%,30.44%
model_0,alexa_2.wav,alexa_5.wav,0.7503277063369751,0.7503277063369751,v31_ep11,75.03%,75.03%
model_0,alexa_3.wav,alexa_4.wav,0.4892406165599823,0.4892406165599823,v31_ep11,48.92%,48.92%
model_0,alexa_3.wav,alexa_5.wav,0.5720648765563965,0.5720648765563965,v31_ep11,57.21%,57.21%
model_0,alexa_4.wav,alexa_5.wav,0.5111606121063232,0.5111606121063232,v31_ep11,51.12%,51.12%
model_0,shiva_1.wav,shiva_2.wav,0.40517112612724304,0.40517112612724304,v31_ep11,40.52%,40.52%
model_0,munez_2.wav,munez_3.wav,0.650946855545044,0.650946855545044,v31_ep11,65.09%,65.09%
model_0,nigga2.wav,nigga3.wav,0.8298656940460205,0.8298656940460205,v31_ep11,82.99%,82.99%
model_0,kallan_1.wav,kallan_2.wav,0.5331293344497681,0.5331293344497681,v31_ep11,53.31%,53.31%
model_0,Skywalker_en-AU-jimm.mp3,Skywalker_en-AU-kylie.mp3,0.6064743995666504,0.6064743995666504,v31_ep11,60.65%,60.65%
model_0,Thunderbolt_en-AU-jimm.mp3,Thunderbolt_en-AU-kylie.mp3,0.7574950456619263,0.7574950456619263,v31_ep11,75.75%,75.75%
model_0,sam_1.wav,shambu_1.wav,0.5509318113327026,0.5509318113327026,v31_ep11,55.09%,55.09%
model_0,sam_2.wav,alexa_3.wav,0.14461146295070648,0.14461146295070648,v31_ep11,14.46%,14.46%
model_0,sam_1.wav,shiva_2.wav,0.33828282356262207,0.33828282356262207,v31_ep11,33.83%,33.83%
model_0,shambu_1.wav,alexa_1.wav,0.3309578597545624,0.3309578597545624,v31_ep11,33.10%,33.10%
model_0,shiva_1.wav,munez_2.wav,0.09923512488603592,0.09923512488603592,v31_ep11,9.92%,9.92%
model_0,alexa_2.wav,nigga3.wav,0.28454333543777466,0.28454333543777466,v31_ep11,28.45%,28.45%
